rtfd b'5c2623574800'
setMobile_FEA_MFG_KEYSALL_FF b'5c2623574506020300000000'
setMobile_LEGACY_CRED_KEYSALL_FF b'5c2623574506040300000000'
setMobile_ALL_KEYSSLOT1_FF b'5c2623574506070100000000'
setMobile_LEGACY_CREDENTIALS_KEYSSLOT1_FF b'5c2623574506040300000000'
setMobile_LEGACY_CREDENTIALS_KEYSSLOT2_FF b'5c2623574506040200000000'
setMobile_LEGACY_CREDENTIALS_KEYSSLOT2_FF b'5c2623574506040200000000'
setKey_LEAF-OCPSK_KEY1 b'5c262357471106aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa'
setKey_LEAF-READ_KEY1 b'5c262357471107aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa'
setKey_CUST_KEY1 b'5c262357471106aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa'
setKey_CUST_KEY1 b'5c262357471118aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa'
setKey_NFC-KM1_KEY1 b'5c26235747111aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa'
setKey_NFC-KC1_KEY1 b'5c26235747111baaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa'
setKey_NFC-KM2_KEY1 b'5c26235747111caaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa'
setKey_NRC-KC2_KEY1 b'5c26235747111daaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa'
setOsdp_0_baudId_9600_DEFAULT b'5c26235749020000'
setOsdp_0_baudId_19200 b'5c26235749020001'
setOsdp_0_baudId_38400 b'5c26235749020002'
setOsdp_0_baudId_57600 b'5c26235749020003'
setOsdp_0_baudId_115200 b'5c26235749020004'
setOsdp_0_baudId_230400 b'5c26235749020005'
setOsdp_0_baudId_460800 b'5c26235749020006'
setOsdp_1_baudId_9600_DEFAULT b'5c26235749020100'
setOsdp_1_baudId_19200 b'5c26235749020101'
setOsdp_1_baudId_38400 b'5c26235749020102'
setOsdp_1_baudId_57600 b'5c26235749020103'
setOsdp_1_baudId_115200 b'5c26235749020104'
setOsdp_1_baudId_230400 b'5c26235749020105'
setOsdp_1_baudId_460800 b'5c26235749020106'
setOsdp_2_baudId_9600_DEFAULT b'5c26235749020200'
setOsdp_2_baudId_19200 b'5c26235749020201'
setOsdp_2_baudId_38400 b'5c26235749020202'
setOsdp_2_baudId_57600 b'5c26235749020203'
setOsdp_2_baudId_115200 b'5c26235749020204'
setOsdp_2_baudId_230400 b'5c26235749020205'
setOsdp_2_baudId_460800 b'5c26235749020206'
setOsdp_3_baudId_9600_DEFAULT b'5c26235749020300'
setOsdp_3_baudId_19200 b'5c26235749020301'
setOsdp_3_baudId_38400 b'5c26235749020302'
setOsdp_3_baudId_57600 b'5c26235749020303'
setOsdp_3_baudId_115200 b'5c26235749020304'
setOsdp_3_baudId_230400 b'5c26235749020305'
setOsdp_3_baudId_460800 b'5c26235749020306'
setOsdp_4_baudId_9600_DEFAULT b'5c26235749020400'
setOsdp_4_baudId_19200 b'5c26235749020401'
setOsdp_4_baudId_38400 b'5c26235749020402'
setOsdp_4_baudId_57600 b'5c26235749020403'
setOsdp_4_baudId_115200 b'5c26235749020404'
setOsdp_4_baudId_230400 b'5c26235749020405'
setOsdp_4_baudId_460800 b'5c26235749020406'
setOsdp_5_baudId_9600_DEFAULT b'5c26235749020500'
setOsdp_5_baudId_19200 b'5c26235749020501'
setOsdp_5_baudId_38400 b'5c26235749020502'
setOsdp_5_baudId_57600 b'5c26235749020503'
setOsdp_5_baudId_115200 b'5c26235749020504'
setOsdp_5_baudId_230400 b'5c26235749020505'
setOsdp_5_baudId_460800 b'5c26235749020506'
setOsdp_6_baudId_9600_DEFAULT b'5c26235749020600'
setOsdp_6_baudId_19200 b'5c26235749020601'
setOsdp_6_baudId_38400 b'5c26235749020602'
setOsdp_6_baudId_57600 b'5c26235749020603'
setOsdp_6_baudId_115200 b'5c26235749020604'
setOsdp_6_baudId_230400 b'5c26235749020605'
setOsdp_6_baudId_460800 b'5c26235749020606'
setOsdp_7_baudId_9600_DEFAULT b'5c26235749020700'
setOsdp_7_baudId_19200 b'5c26235749020701'
setOsdp_7_baudId_38400 b'5c26235749020702'
setOsdp_7_baudId_57600 b'5c26235749020703'
setOsdp_7_baudId_115200 b'5c26235749020704'
setOsdp_7_baudId_230400 b'5c26235749020705'
setOsdp_7_baudId_460800 b'5c26235749020706'
setOsdp_8_baudId_9600_DEFAULT b'5c26235749020800'
setOsdp_8_baudId_19200 b'5c26235749020801'
setOsdp_8_baudId_38400 b'5c26235749020802'
setOsdp_8_baudId_57600 b'5c26235749020803'
setOsdp_8_baudId_115200 b'5c26235749020804'
setOsdp_8_baudId_230400 b'5c26235749020805'
setOsdp_8_baudId_460800 b'5c26235749020806'
